STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,MDPR,MDPR_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,5/10/1943,,,0.12,",,6,",,,,,86,",,6",58,",,6",62,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,5/11/1943,,,0.09,",,6,",,,,,91,",,6",59,",,6",59,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,5/12/1943,,,1.02,",,6,",,,,,83,",,6",59,",,6",61,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,5/13/1943,,,0,"T,,6,",,,,,66,",,6",52,",,6",53,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,5/14/1943,,,0,"T,,6,",,,,,85,",,6",53,",,6",58,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,5/15/1943,,,0.16,",,6,",,,,,81,",,6",57,",,6",57,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,5/16/1943,,,0,",,6,",,,,,82,",,6",57,",,6",60,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,5/17/1943,,,0,",,6,",,,,,80,",,6",57,",,6",57,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,5/18/1943,,,0,",,6,",,,,,91,",,6",57,",,6",59,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,5/19/1943,,,0,",,6,",,,,,92,",,6",59,",,6",62,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,5/20/1943,,,0.8,",,6,",,,,,93,",,6",61,",,6",63,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,5/21/1943,,,0.32,",,6,",,,,,86,",,6",63,",,6",64,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,5/22/1943,,,0,",,6,",,,,,81,",,6",48,",,6",52,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,5/23/1943,,,0,",,6,",,,,,80,",,6",45,",,6",51,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,5/24/1943,,,0.05,",,6,",,,,,70,",,6",51,",,6",55,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,5/25/1943,,,0.32,",,6,",,,,,66,",,6",55,",,6",61,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,5/26/1943,,,0.59,",,6,",,,,,76,",,6",50,",,6",52,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,5/27/1943,,,0,",,6,",,,,,76,",,6",48,",,6",49,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,5/28/1943,,,0.86,",,6,",,,,,81,",,6",49,",,6",58,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,5/29/1943,,,0,"T,,6,",,,,,79,",,6",51,",,6",52,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,5/30/1943,,,0,",,6,",,,,,83,",,6",52,",,6",55,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,5/31/1943,,,0,",,6,",,,,,85,",,6",55,",,6",64,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,6/1/1943,,,0,",,6,",,,,,90,",,6",63,",,6",63,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,6/2/1943,,,0,",,6,",,,,,91,",,6",63,",,6",64,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,6/3/1943,,,0,",,6,",,,,,92,",,6",64,",,6",64,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,6/4/1943,,,0,",,6,",,,,,96,",,6",63,",,6",64,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,6/5/1943,,,0,",,6,",,,,,94,",,6",64,",,6",65,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,6/6/1943,,,0,"T,,6,",,,,,95,",,6",65,",,6",69,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,6/7/1943,,,1.76,",,6,",,,,,93,",,6",64,",,6",65,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,6/8/1943,,,0.05,",,6,",,,,,91,",,6",62,",,6",65,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,6/9/1943,,,1.67,",,6,",,,,,90,",,6",65,",,6",66,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,6/10/1943,,,0.01,",,6,",,,,,84,",,6",61,",,6",67,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,6/11/1943,,,0,",,6,",,,,,91,",,6",62,",,6",63,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,6/12/1943,,,0.07,",,6,",,,,,88,",,6",63,",,6",66,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,6/13/1943,,,0.02,",,6,",,,,,94,",,6",65,",,6",68,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,6/14/1943,,,0,"T,,6,",,,,,92,",,6",65,",,6",68,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,6/15/1943,,,0.71,",,6,",,,,,94,",,6",67,",,6",68,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,6/16/1943,,,0.1,",,6,",,,,,92,",,6",66,",,6",68,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,6/17/1943,,,0,",,6,",,,,,91,",,6",67,",,6",68,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,6/18/1943,,,0.03,",,6,",,,,,95,",,6",63,",,6",65,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,6/19/1943,,,0,",,6,",,,,,86,",,6",58,",,6",59,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,6/20/1943,,,0,",,6,",,,,,89,",,6",59,",,6",67,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,6/21/1943,,,0,",,6,",,,,,95,",,6",63,",,6",64,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,6/22/1943,,,0,",,6,",,,,,95,",,6",64,",,6",69,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,6/23/1943,,,0.12,",,6,",,,,,82,",,6",65,",,6",66,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,6/24/1943,,,0,",,6,",,,,,95,",,6",65,",,6",67,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,6/25/1943,,,0,",,6,",,,,,95,",,6",66,",,6",67,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,6/26/1943,,,0,",,6,",,,,,95,",,6",66,",,6",69,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,6/27/1943,,,0,",,6,",,,,,96,",,6",67,",,6",70,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,6/28/1943,,,0,",,6,",,,,,97,",,6",66,",,6",67,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,6/29/1943,,,0.59,",,6,",,,,,96,",,6",67,",,6",70,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,6/30/1943,,,0.26,",,6,",,,,,82,",,6",53,",,6",55,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,7/1/1943,,,0,",,6,",,,,,75,",,6",51,",,6",54,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,7/2/1943,,,0,",,6,",,,,,72,",,6",54,",,6",60,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,7/3/1943,,,0,",,6,",,,,,71,",,6",60,",,6",65,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,7/4/1943,,,0,",,6,",,,,,77,",,6",63,",,6",70,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,7/5/1943,,,1.23,",,6,",,,,,85,",,6",65,",,6",68,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,7/6/1943,,,0.01,",,6,",,,,,89,",,6",67,",,6",68,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,7/7/1943,,,0.15,",,6,",,,,,86,",,6",63,",,6",66,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,7/8/1943,,,0.16,",,6,",,,,,87,",,6",65,",,6",67,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,7/9/1943,,,0.6,",,6,",,,,,86,",,6",65,",,6",66,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,7/10/1943,,,0,",,6,",,,,,81,",,6",64,",,6",,
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,7/11/1943,,,0,",,6,",,,,,85,",,6",67,",,6",68,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,7/12/1943,,,0,",,6,",,,,,89,",,6",65,",,6",67,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,7/13/1943,,,0.23,",,6,",,,,,89,",,6",66,",,6",68,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,7/14/1943,,,0,",,6,",,,,,88,",,6",65,",,6",67,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,7/15/1943,,,0.39,",,6,",,,,,81,",,6",64,",,6",67,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,7/16/1943,,,0,",,6,",,,,,91,",,6",66,",,6",69,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,7/17/1943,,,0,",,6,",,,,,90,",,6",65,",,6",67,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,7/18/1943,,,0.09,",,6,",,,,,93,",,6",67,",,6",72,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,7/19/1943,,,0,",,6,",,,,,86,",,6",64,",,6",66,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,7/20/1943,,,0,",,6,",,,,,89,",,6",65,",,6",67,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,7/21/1943,,,0,",,6,",,,,,91,",,6",65,",,6",68,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,7/22/1943,,,0.01,",,6,",,,,,91,",,6",65,",,6",68,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,7/23/1943,,,0,",,6,",,,,,89,",,6",59,",,6",62,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,7/24/1943,,,0,",,6,",,,,,87,",,6",58,",,6",60,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,7/25/1943,,,0,",,6,",,,,,90,",,6",57,",,6",66,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,7/26/1943,,,0.04,",,6,",,,,,81,",,6",65,",,6",69,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,7/27/1943,,,0.03,",,6,",,,,,87,",,6",64,",,6",67,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,7/28/1943,,,0,",,6,",,,,,88,",,6",64,",,6",67,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,7/29/1943,,,0.58,",,6,",,,,,89,",,6",62,",,6",65,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,7/30/1943,,,0.17,",,6,",,,,,84,",,6",64,",,6",67,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,7/31/1943,,,0,",,6,",,,,,84,",,6",60,",,6",63,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,8/1/1943,,,0,",,6,",,,,,85,",,6",61,",,6",64,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,8/2/1943,,,0,",,6,",,,,,90,",,6",61,",,6",63,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,8/3/1943,,,0,",,6,",,,,,91,",,6",60,",,6",63,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,8/4/1943,,,0,",,6,",,,,,88,",,6",62,",,6",69,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,8/5/1943,,,0,",,6,",,,,,89,",,6",68,",,6",76,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,8/6/1943,,,0.1,",,6,",,,,,88,",,6",64,",,6",66,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,8/7/1943,,,0,",,6,",,,,,87,",,6",62,",,6",64,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,8/8/1943,,,0,",,6,",,,,,89,",,6",62,",,6",64,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,8/9/1943,,,0,",,6,",,,,,93,",,6",62,",,6",64,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,8/10/1943,,,0,",,6,",,,,,94,",,6",63,",,6",69,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,8/11/1943,,,0.01,",,6,",,,,,95,",,6",68,",,6",71,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,8/12/1943,,,0,",,6,",,,,,93,",,6",65,",,6",67,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,8/13/1943,,,0.01,",,6,",,,,,91,",,6",66,",,6",71,",,6,"
